naziv,sifra,marka,jedinica_mjere,cijena_za_jedinicu_mjere,maloprodajna_cijena,posebni_oblik_prodaje,naziv_posebnog_oblika_prodaje,sidrena_cijena,barkod,dostupnost
dr.Frei elastični steznik za lakat - XL,S8317XL,dr.Frei,,,12.00,NE,,12.00,7640162325615,nedostupno
dr.Frei elastični steznik za zapešće - L,S8503L,dr.Frei,,,12.00,NE,,12.00,7640162325646,nedostupno
dr.Frei elastični steznik za zapešće - M,S8503M,dr.Frei,,,12.00,NE,,12.00,7640162325639,nedostupno
dr.Frei elastični steznik za zapešće - S,S8503S,dr.Frei,,,12.00,NE,,12.00,7640162325622,nedostupno
dr.Frei elastični steznik za zapešće - XL,S8503XL,dr.Frei,,,12.00,NE,,12.00,7640162325653,dostupno
dr.Frei Kids dječja mitela za ruku - L,KD910L,dr.Frei,,,40.00,NE,,40.00,,dostupno
dr.Frei Kids dječja mitela za ruku - M,KD910M,dr.Frei,,,40.00,NE,,40.00,,dostupno
dr.Frei Kids dječja mitela za ruku - S,KD910S,dr.Frei,,,40.00,NE,,40.00,,dostupno
dr.Frei Kids dječja ortoza za ručni zglob - L,KD852L,dr.Frei,,,30.00,NE,,30.00,,dostupno
dr.Frei Kids dječja ortoza za ručni zglob - M,KD852M,dr.Frei,,,30.00,NE,,30.00,,dostupno
dr.Frei Kids dječja ortoza za ručni zglob - S,KD852S,dr.Frei,,,30.00,NE,,30.00,,dostupno
dr.Frei Kids dječja potpora za pravilno držanje - L,KD205L,dr.Frei,,,40.00,NE,,40.00,,dostupno
dr.Frei Kids dječja potpora za pravilno držanje - M,KD205M,dr.Frei,,,40.00,NE,,40.00,,dostupno
dr.Frei Kids dječja potpora za pravilno držanje - S,KD205S,dr.Frei,,,40.00,NE,,40.00,,dostupno
dr.Frei Kids dječji steznik za gležanj univerzalni,KD710,dr.Frei,,,25.00,NE,,25.00,,dostupno
dr.Frei Kids ortoza za palac - L,KD814L,dr.Frei,,,20.00,NE,,20.00,,dostupno
dr.Frei Kids ortoza za palac - M,KD814M,dr.Frei,,,20.00,NE,,20.00,,dostupno
dr.Frei Kids ortoza za palac - S,KD814S,dr.Frei,,,20.00,NE,,20.00,,dostupno
dr.Frei Kids podesiva dječja ortoza za koljeno - L,KD658L,dr.Frei,,,45.00,NE,,45.00,,dostupno
dr.Frei Kids podesiva dječja ortoza za koljeno - M,KD658M,dr.Frei,,,45.00,NE,,45.00,,dostupno
dr.Frei Kids podesiva dječja ortoza za koljeno - S,KD658S,dr.Frei,,,45.00,NE,,45.00,,dostupno
dr.Frei ortoza za koljeno,S6035,dr.Frei,,,45.00,NE,,45.00,7640162324601,dostupno
dr.Frei ortoza za lakat s dodatnom fiksacijom,S8321,dr.Frei,,,35.00,NE,,35.00,7640162324588,dostupno
dr.Frei ortoza za leđa,1372,dr.Frei,,,80.00,NE,,80.00,,dostupno
dr.Frei ortoza za leđa univerzalna,FG341,dr.Frei,,,100.00,NE,,100.00,,dostupno
dr.Frei ortoza za patelu s trakom,S6010,dr.Frei,,,20.00,NE,,20.00,7640162325660,dostupno
dr.Frei ortoza za teniski/golferski lakat,S8322,dr.Frei,,,25.00,NE,,25.00,7640162324571,dostupno
dr.Frei ortoza za zapešće - Desna,S8551R,dr.Frei,,,40.00,NE,,40.00,7640162324557,dostupno
dr.Frei ortoza za zapešće - Lijeva,S8551L,dr.Frei,,,40.00,NE,,40.00,7640162324830,dostupno
dr.Frei ortoza za zapešće s fiksacijom palca - Desna,S8555R,dr.Frei,,,45.00,NE,,45.00,7640162324564,dostupno
dr.Frei ortoza za zapešće s fiksacijom palca - Lijeva,S8555L,dr.Frei,,,45.00,NE,,45.00,7640162324847,dostupno
dr.Frei podesivi steznik za zapešće,S8514,dr.Frei,,,9.00,NE,,9.00,7640162324540,dostupno
dr.Frei stabilizirajuća ortoza za zglob s potporom - L/XL,FG851,dr.Frei,,,45.00,NE,,45.00,,dostupno
dr.Frei stabilizirajuća ortoza za zglob s potporom - S/M,FG851,dr.Frei,,,45.00,NE,,45.00,,dostupno
dr.Frei stabilizirajući steznik za koljeno,1369,dr.Frei,,,35.00,NE,,35.00,,dostupno
dr.Frei steznik za gležanj,S7028,dr.Frei,,,30.00,NE,,30.00,7640162324625,nedostupno
dr.Frei steznik za patelu koljena univerzalni,FG610,dr.Frei,,,15.00,NE,,15.00,,dostupno
dr.Frei Turbo Base kompresijski inhalator,Product_8b771df7-5874-49a5-adb9-27b608852785,dr.Frei,,,55.00,NE,,55.00,,dostupno
dr.Frei Turbo Care kompresijski inhalator,1411,dr.Frei,,,65.00,NE,,65.00,,dostupno
Drveni štap Derby Crni  816117.N,OXY-816117.N,Identites,,,17.90,NE,,17.90,6910011121125,nedostupno
Drveni štap Derby Smeđi,OXY-816117.F,Identites,,,17.90,NE,,17.90,,dostupno
Drzac za kadu 812093,OXY-812093,Identites,,,69.90,NE,,69.90,3760223830255,dostupno
E-Fold Lite sklopiva električna invalidska kolica,824048,Identites,,,3199.00,NE,,3199.00,,nedostupno
Eco Assist elektromotorni dodatak za invalidska kolica,875037,Rehasense,,,5200.00,NE,,5200.00,5907467807362,nedostupno
Eko podizno sjedalo za pomoć pri ustajanju - Easy electric,821078,Identites,,,315.00,NE,,315.00,,nedostupno
Eko podizno sjedalo za pomoć pri ustajanju - Eco,821001,Identites,,,115.00,NE,,115.00,3760223830507,nedostupno
Eko podizno sjedalo za pomoć pri ustajanju - Up Easy,821076,Identites,,,185.00,NE,,185.00,0627394995318,nedostupno
Eko podizno sjedalo za pomoć pri ustajanju - Up Easy Med,821077,Identites,,,235.00,NE,,235.00,0627394211012,nedostupno
Ergo Reacher hvataljka 67cm 817067 - 67 cm,OXY-817067,Identites,,,14.50,NE,,14.50,3760223834789,dostupno
Ergo Reacher hvataljka 67cm 817067 - 76 cm,ergo-reacher-hvataljka-67cm-817067-76-cm,Identites,,,14.50,NE,,14.50,,nedostupno
Ergo štaka Opti Comfort Premium 816047.BLEU,OXY-816047.BLEU,Identites,,,40.00,NE,,40.00,03665155001905,dostupno
Ergo štaka Opti Comfort Premium 816047.NOIR,OXY-816047.NOIR,Identites,,,40.00,NE,,40.00,03665155001912,dostupno
Ergo štaka Opti Comfort Premium 816047.VIOLET,OXY-816047.VIOLET,Identites,,,40.00,NE,,40.00,03665155001875,dostupno
"Fischer & Paykel Eson 2 nazalna maska za potpomognuto disanje, CPAP - L",Product_99abf954-d0fd-440f-8cc9-3736eec9bf38-L,Fisher & Paykel,,,66.00,NE,,66.00,,dostupno
"Fischer & Paykel Eson 2 nazalna maska za potpomognuto disanje, CPAP - M",Product_99abf954-d0fd-440f-8cc9-3736eec9bf38-M,Fisher & Paykel,,,66.00,NE,,66.00,,dostupno
"Fischer & Paykel Eson 2 nazalna maska za potpomognuto disanje, CPAP - S",01MT0019,Fisher & Paykel,,,66.00,NE,,66.00,,dostupno
Fisher & Paykel Brevida™  nazalna pillow CPAP maska - M-L,Product_79218dc0-74d0-418c-9f4f-b32d56b6f920-M-L,Fisher & Paykel,,,115.00,NE,,115.00,,nedostupno
Fisher & Paykel Brevida™  nazalna pillow CPAP maska - XS-S,01MT0014,Fisher & Paykel,,,115.00,NE,,115.00,,nedostupno
Gel ulošci - 35-36,115059.35,Deramed,,,35.00,NE,,35.00,8435057928823,nedostupno
Gel ulošci - 37-38,115038.37,Deramed,,,35.00,NE,,35.00,,dostupno
Gel ulošci - 39-40,115038.39,Deramed,,,35.00,NE,,35.00,,dostupno
Gel ulošci - 41-42,115038.41,Deramed,,,35.00,NE,,35.00,,dostupno
Gel ulošci - 43-44,115038.43,Deramed,,,35.00,NE,,35.00,,nedostupno
Gel uložak za petu - 35-37,115058.35,Deramed,,,20.00,NE,,20.00,8435057926454,dostupno
Gel uložak za petu - 38-40,115058.38,Deramed,,,20.00,NE,,20.00,8435057926461,dostupno
Gel uložak za petu - 41-44,115058.41,Deramed,,,20.00,NE,,20.00,8435057926478,dostupno
Gelpro steznik glava 835202,OXY-835202,Identites,,,25.00,NE,,25.00,3760223839692,dostupno
Gelpro steznik gležanj 835188,OXY-835188,Identites,,,25.00,NE,,25.00,3760223838909,nedostupno
Gelpro steznik koljeno,835189,Deramed,,,23.00,NE,,23.00,3760223838916,nedostupno
Gelpro steznik leđa trbuh 835191,OXY-835191,Identites,,,35.00,NE,,35.00,3760223838930,nedostupno
Gelpro steznik natkoljenica,OXY-835190,Identites,,,27.00,NE,,27.00,3760223838923,dostupno
Gelpro steznik rame 835192,OXY-835192,Identites,,,35.00,NE,,35.00,3760223838947,dostupno
Gelpro steznik zapešće palac 835187,OXY-835187,Identites,,,17.00,NE,,17.00,3760223838893,nedostupno
Greenland toaletni stolac 811187,OXY-811187,Identites,,,90.00,NE,,90.00,3760223837469,dostupno
Horizon P5 prijenosni koncentrator kisika - 16 ćelija,OXY-R4110021,Scaleo Medical,,,3120.00,NE,,3120.00,,nedostupno
Horizon P5 prijenosni koncentrator kisika - 8 ćelija,OXY-R4110020,Scaleo Medical,,,2629.73,NE,,2629.73,,nedostupno
Horizon S5 stacionarni koncentrator kisika,R21010,Scaleo Medical,,,742.70,NE,,742.70,,dostupno
Ibiza standard wc povišenje 811089,OXY-811089,Identites,,,55.00,NE,,55.00,3760223830613,dostupno
Jablotron Nanny BM-02 Monitor Disanja za Bebe,BM-02,Jablotron,,,150.00,NE,,150.00,,dostupno
Jablotron Nanny BM03 Monitor Disanja za Bebe,BM-03,Jablotron,,,190.00,NE,,190.00,,dostupno
Jastuk za noge 855165,OXY-855165,Identites,,,74.90,NE,,74.90,3760079144490,nedostupno
Kadica za pranje kose 812025,OXY-812025,Identites,,,50.00,NE,,50.00,3760223830248,dostupno
Lepu Medical R20 CPAP uređaj,R20,Lepu Medical,,,650.00,NE,,650.00,,dostupno
Lowenstein Joyceeasy nazalna CPAP maska - L,Product_699f2afa-7f66-48d9-a03b-b8a6264f4867-L,Löwenstein,,,99.00,NE,,99.00,,dostupno
Lowenstein Joyceeasy nazalna CPAP maska - M,Product_699f2afa-7f66-48d9-a03b-b8a6264f4867-M,Löwenstein,,,99.00,NE,,99.00,,dostupno
Lowenstein Joyceeasy nazalna CPAP maska - S,Product_699f2afa-7f66-48d9-a03b-b8a6264f4867-S,Löwenstein,,,99.00,NE,,99.00,,dostupno
Löwenstein CARA nazalna CPAP maska - M/L,Product_3a3b9474-895a-49e2-91eb-5b41c0f35b2b-M-L,Löwenstein,,,59.00,NE,,59.00,,dostupno
Löwenstein CARA nazalna CPAP maska - S/M,01MT0177,Löwenstein,,,59.00,NE,,59.00,,dostupno
Löwenstein JOYCEone nazalna CPAP maska,01MT0178,Löwenstein,,,99.00,NE,,99.00,,dostupno
Löwenstein Prisma SMART Plus – automatski CPAP uređaj,Product_4709e908-a599-4e09-a0fd-b694b3729a97,Löwenstein,,,780.00,NE,,780.00,,nedostupno
Mekana okretna stolica za kupanje,812010,Identites,,,239.00,NE,,239.00,3760223837070,nedostupno
Međunožni jastuk 855060,OXY-855060,Identites,,,29.90,NE,,29.90,3760223834970,dostupno
Moovy transferna tuš stolica,822011,Identites,,,575.00,NE,,575.00,3760223835120,nedostupno
Moovy transferna tuš stolica s električnim podizanjem,822013,Identites,,,1130.00,NE,,1130.00,3760223836707,nedostupno
Naslon za leđa 823039,OXY-823039,Identites,,,65.00,NE,,65.00,3760223832693,dostupno
"Navlaka za tuširanje, cijela noga",115079.JE,Identites,,,19.90,NE,,19.90,8432679403073,dostupno
"Navlaka za tuširanje, cijela ruka",115079.BR,Identites,,,16.90,NE,,16.90,8432679403059,dostupno
"Navlaka za tuširanje, noga do koljena",115079.DEJ,Identites,,,18.90,NE,,18.90,8432679403066,dostupno
"Navlaka za tuširanje, ruka do lakta",115079.AVB,Identites,,,15.90,NE,,15.90,8432679403042,dostupno
Neo Fold rolator - Maslinasto zelena,826316VERTS,Identites,,,200.00,NE,,200.00,3760223839661,nedostupno
Neo Fold rolator - Terakota,826316TERRS,Identites,,,200.00,NE,,200.00,3760223839647,nedostupno
Neo Fun rolator za sve terene,826025,Identites,,,250.00,NE,,250.00,3760223835199,nedostupno
Neo Smart karbonski rolator - L,826315NOIRL,Identites,,,400.00,NE,,400.00,3760223839746,nedostupno
Neo Smart karbonski rolator - M,826315NOIR,Identites,,,400.00,NE,,400.00,3760223839548,nedostupno
Neo XL rolator,826065,Identites,,,229.90,NE,,229.90,3760223834819,nedostupno
Nosna kanila za kisik,1844,TIK Zagreb,,,1.50,NE,,1.50,,dostupno
Noćna posuda 801087,801087,Identites,,,10.00,NE,,10.00,,nedostupno
Okrugli stolac za tuš 812014,OXY-812014,Identites,,,49.00,NE,,49.00,3760223838794,nedostupno
OxyHero CPAP crijevo 19 mm,01MT1000,Oxyhero,,,15.00,NE,,15.00,,dostupno
OxyHero CPAP filter zraka za ResMed AirSense 11,01MT1083,Oxyhero,,,40.00,NE,,40.00,,dostupno
Oxyhero CPAP jastuk,01MT0932,Oxyhero,,,59.74,NE,,59.74,,dostupno
Oxyhero filter zraka za CPAP Philips Dreamstation2,1499,Oxyhero,,,15.00,NE,,15.00,,dostupno
Oxyhero filter zraka za ResMed CPAP uređaje,1498,Oxyhero,,,40.00,NE,,40.00,,dostupno
Oxyhero četka za čišćenje CPAP sustava,01MT1028,Oxyhero,,,17.19,NE,,17.19,,dostupno
Podmetač za kadu - Bež,OXY-818053,Identites,,,24.90,NE,,24.90,3760223830293,dostupno
Podmetač za kadu - Plava,podmetac-za-kadu-bez-818053-Plava,Identites,,,24.90,NE,,24.90,,dostupno
Poklopac za noćnu posudu,801088,Identites,,,3.00,NE,,3.00,,nedostupno
Primo rolator 4 kotača,OXY-826236,Identites,,,114.98,NE,,114.98,3760223832761,dostupno
Prisma Aqua CPAP ovlaživač zraka,Product_827fc116-f0f4-4494-8bc1-4d22e788e0d0,Löwenstein,,,185.00,NE,,185.00,,nedostupno
Pulsni oksimetar SP-20,SP-20,Lepu Medical,,,682.50,NE,,682.50,,dostupno
ResMed AirFit F20 for Her – Full Face CPAP maska za žene - M,Product_aa62c887-1153-48a9-8d4a-d3a67faf7d3e-M,ResMed,,,149.00,NE,,149.00,,nedostupno
ResMed AirFit F20 for Her – Full Face CPAP maska za žene - S,01MT0105,ResMed,,,149.00,NE,,149.00,,dostupno
"ResMed AirFit F20, CPAP maska za cijelo lice - L",Product_486f6a49-908b-4e94-8cfd-9362adfeba6d-L,ResMed,,,149.00,NE,,149.00,,dostupno
"ResMed AirFit F20, CPAP maska za cijelo lice - M",Product_486f6a49-908b-4e94-8cfd-9362adfeba6d-M,ResMed,,,149.00,NE,,149.00,,dostupno
"ResMed AirFit F20, CPAP maska za cijelo lice - S",01MT0104,ResMed,,,149.00,NE,,149.00,619498634071,dostupno
ResMed AirFit F30i CPAP maska za cijelo lice - Small okvir sa small jastučićem,Product_3cf735c8-0216-43e9-b43e-79b1062566b8-Small-okvir-sa-small-jastucicem,ResMed,,,160.00,NE,,160.00,,nedostupno
ResMed AirFit F30i CPAP maska za cijelo lice - Standard okvir s large jastučićem,Product_3cf735c8-0216-43e9-b43e-79b1062566b8-Standard-okvir-s-large-jastucicem,ResMed,,,160.00,NE,,160.00,,nedostupno
ResMed AirFit F30i CPAP maska za cijelo lice - Standard okvir s medium jastučićem,Product_3cf735c8-0216-43e9-b43e-79b1062566b8-Standard-okvir-s-medium-jastucicem,ResMed,,,160.00,NE,,160.00,,nedostupno
ResMed AirFit F40 CPAP maska za cijelo lice - Small okvir s medium jastučićem,Product_0421fd45-acbd-4dc6-8ebc-d9d6ffe46128-Small-okvir-s-medium-jastucicem,ResMed,,,165.00,NE,,165.00,,nedostupno
ResMed AirFit F40 CPAP maska za cijelo lice - Standard okvir s large jastučićem,Product_0421fd45-acbd-4dc6-8ebc-d9d6ffe46128-Standard-okvir-s-large-jastucicem,ResMed,,,165.00,NE,,165.00,,nedostupno
ResMed AirFit F40 CPAP maska za cijelo lice - Standard okvir s medium jastučićem,Product_0421fd45-acbd-4dc6-8ebc-d9d6ffe46128-Standard-okvir-s-medium-jastucicem,ResMed,,,165.00,NE,,165.00,,nedostupno
ResMed AirFit F40 CPAP maska za cijelo lice - Standard okvir sa small-wide jastučićem,Product_0421fd45-acbd-4dc6-8ebc-d9d6ffe46128-Standard-okvir-sa-small-wide-jastucicem,ResMed,,,165.00,NE,,165.00,,nedostupno
Resmed AirFit N20 nazalna maska za potpomognuto disanje CPAP - L,Product_7d9ce467-4999-4d2b-b798-5994e959db29-L,ResMed,,,80.00,NE,,80.00,,dostupno
Resmed AirFit N20 nazalna maska za potpomognuto disanje CPAP - M,Product_7d9ce467-4999-4d2b-b798-5994e959db29-M,ResMed,,,80.00,NE,,80.00,,nedostupno
Resmed AirFit N20 nazalna maska za potpomognuto disanje CPAP - S,01MT0098,ResMed,,,80.00,NE,,80.00,619498635122,dostupno
ResMed AirFit N30i nazalna CPAP maska - Small okvir Small jastučić,Product_daf49c75-4395-455f-a719-5f1f3a9ff24d-Small-okvir-Small-jastucic,ResMed,,,120.00,NE,,120.00,,nedostupno
ResMed AirFit N30i nazalna CPAP maska - Small okvir Small-Wide jastučić,Product_daf49c75-4395-455f-a719-5f1f3a9ff24d-Small-okvir-Small-Wide-jastucic,ResMed,,,120.00,NE,,120.00,,nedostupno
ResMed AirFit N30i nazalna CPAP maska - Standard okvir Medium jastučić,01MT0912,ResMed,,,120.00,NE,,120.00,619498638192,dostupno
ResMed AirFit N30i nazalna CPAP maska - Standard okvir Wide jastučić,Product_daf49c75-4395-455f-a719-5f1f3a9ff24d-Standard-okvir-Wide-jastucic,ResMed,,,120.00,NE,,120.00,,nedostupno
ResMed AirFit N30i zamjenski jastučić za CPAP masku Wide - Small,Product_ad0ca484-8f27-43bb-a768-4013c874af9d-Small,ResMed,,,55.00,NE,,55.00,,nedostupno
ResMed AirFit N30i zamjenski jastučić za CPAP masku Wide - Small-Wide,Product_ad0ca484-8f27-43bb-a768-4013c874af9d-Small-Wide,ResMed,,,55.00,NE,,55.00,,nedostupno
ResMed AirFit N30i zamjenski jastučić za CPAP masku Wide - Wide,01MT1026,ResMed,,,55.00,NE,,55.00,,dostupno
Resmed Airfit P10 CPAP maska s nazalnim jastučićem,1422,ResMed,,,105.00,NE,,105.00,,dostupno
ResMed Airfit P30i CPAP maska s nazalnim jastučićima - Small okvir sa small jastučićem,Product_ef7fce28-1741-4233-8b7a-b341f3b35d6e-Small-okvir-sa-small-jastucicem,ResMed,,,115.00,NE,,115.00,,nedostupno
ResMed Airfit P30i CPAP maska s nazalnim jastučićima - Standard okvir Medium jastučić,Product_ef7fce28-1741-4233-8b7a-b341f3b35d6e-Standard-okvir-Medium-jastucic,ResMed,,,115.00,NE,,115.00,,nedostupno
ResMed Airfit P30i CPAP maska s nazalnim jastučićima - Standard okvir Wide jastučić,Product_ef7fce28-1741-4233-8b7a-b341f3b35d6e-Standard-okvir-Wide-jastucic,ResMed,,,115.00,NE,,115.00,,nedostupno
ResMed AirSense 10 AutoSet Auto CPAP uređaj,01MT1046,ResMed,,,700.00,NE,,700.00,,nedostupno
ResMed AirSense 11 AutoSet Auto CPAP uređaj,01MT1045,ResMed,,,830.00,NE,,830.00,619498391639,dostupno
ResMed AirSense 11 standardna CPAP posuda za vodu (ovlaživač),01MT1065,ResMed,,,150.00,NE,,150.00,619498391127,dostupno
ResMed ClimateLineAir 11 grijano crijevo za AirSense 11,Product_c94986cc-093a-4640-9a16-d7ce2bdff020,ResMed,,,100.00,NE,,100.00,,nedostupno
ResMed Gecko jastučić za nos za CPAP maske - Large,01MT0423,ResMed,,,39.00,NE,,39.00,,dostupno
ResMed Gecko jastučić za nos za CPAP maske - Small,01MT0422,ResMed,,,39.00,NE,,39.00,,dostupno
ResMed HumidAir grijani CPAP ovlaživač zraka za AirSense 10 i AirCurve 10,01MT1061,ResMed,,,100.00,NE,,100.00,,dostupno
"ResMed Mirage FX for Her, nazalna CPAP maska za žene - Small",Product_978cd413-a370-42c5-aac9-211d62af9ffe-Small,ResMed,,,69.00,NE,,69.00,,nedostupno
"ResMed Mirage FX for Her, nazalna CPAP maska za žene - Standard",01MT0117,ResMed,,,69.00,NE,,69.00,,dostupno
"ResMed Mirage FX, nazalna CPAP maska - Standard",01MT0116,ResMed,,,69.00,NE,,69.00,619498621170,dostupno
"ResMed Mirage FX, nazalna CPAP maska - Široka",Product_c8469b14-a61e-4128-8ad1-6a0ffcdad370-Siroka,ResMed,,,69.00,NE,,69.00,,dostupno
Ring O2 pulsni oksimetar,OXY-O2RING,Lepu Medical,,,170.00,NE,,170.00,,dostupno
Robooter X40 sklopiva električna invalidska kolica,875040,Identites,,,3099.00,NE,,3099.00,6974842100016,nedostupno
Robust invalidska kolica,874002,Identites,,,230.00,NE,,230.00,3760223831818,nedostupno
Ručka za kadu vakum 815230,OXY-815230,Identites,,,32.90,NE,,32.90,3760223838558,nedostupno
Scooter Traveler Plus,824054,Identites,,,1699.00,NE,,1699.00,,nedostupno
Senzorska noćna prostirka - 100cm*50cm,819236,Identites,,,195.00,NE,,195.00,3770032852096,nedostupno
Senzorska noćna prostirka - 80cm*40cm,819241,Identites,,,170.00,NE,,170.00,3770032852102,nedostupno
Separator prsta,1443,Deramed,,,4.90,NE,,4.90,,dostupno
Separator prsta 115049.S,OXY-115049.S,Deramed,,,4.90,NE,,4.90,8435057927932,dostupno
Separator prsta 115050.S,OXY-115050.S,Deramed,,,9.00,NE,,9.00,8435057921077,dostupno
Separator prsta 115051.S,OXY-115051.S,Identites,,,5.90,NE,,5.90,8435057927994,dostupno
Separator prsta 115052,OXY-115052,Deramed,,,9.90,NE,,9.90,8435057927352,dostupno
Separator prsta 115053,OXY-115053,Deramed,,,8.90,NE,,8.90,8435057939683,dostupno
Separator prsta 115056.S,OXY-115056.S,Deramed,,,7.90,NE,,7.90,8435057939706,dostupno
Sigurnosni rukohvat 815080 - 30 cm,OXY-815080,Identites,,,9.80,NE,,9.80,3760223836219,dostupno
Sigurnosni rukohvat 815080 - 40 cm,siguronosni-rukohvat-815080-40-cm,Identites,,,10.20,NE,,10.20,,nedostupno
Sigurnosni rukohvat 815080 - 45 cm,siguronosni-rukohvat-815080-45-cm,Identites,,,10.90,NE,,10.90,,dostupno
Sigurnosni rukohvat 815080 - 60 cm,siguronosni-rukohvat-815080-60-cm,Identites,,,15.00,NE,,15.00,,dostupno
Simplex Lift stolić za hranjenje 823121,OXY-823121,Identites,,,95.00,NE,,95.00,3760223834079,dostupno
Sklopiva hodalica bez kotača 826068,OXY-826068,Identites,,,68.00,NE,,68.00,3760223830057,dostupno
Sklopivi štap alarm svjetlo,816091,Identites,,,25.00,NE,,25.00,3760223836035,dostupno
Sklopivi štap Cvijet 816069.B,OXY-816069.B,Identites,,,25.00,NE,,25.00,3760223837841,dostupno
Sklopivi štap Kava 816068,OXY-816068,Identites,,,25.00,NE,,25.00,3760223833034,dostupno
Sklopivi štap Leopard 816069LE,OXY-816069LE,Identites,,,25.00,NE,,25.00,3760223839456,dostupno
Skuter Traveler Maxi - Crna,824049NOIR,Identites,,,3199.00,NE,,3199.00,3760223836820,nedostupno
Skuter Traveler Maxi - Crvena,824049ROUGE,Identites,,,3199.00,NE,,3199.00,3760223836813,nedostupno
"SomnoSept sredstvo za čišćenje CPAP opreme, 400mL",01CA0001,Aescubrands,,,13.17,NE,,13.17,,nedostupno
Sprava za navlačenje čarapa 819175,OXY-819175,Identites,,,29.90,NE,,29.90,3760223833003,dostupno
Sprej za hlađenje,802063,Identites,,,7.50,NE,,7.50,8058090008804,dostupno
Stepenice za kadu Moorea 812225,OXY-812225,Identites,,,45.00,NE,,45.00,3760223830446,dostupno
Stolica za tuširanje Bora 812267,OXY-8122267,Identites,,,55.90,NE,,55.90,,dostupno
Tempur Original jastuk medium,955,Tempur,,,163.00,NE,,163.00,,dostupno
TENS EM 49,OXY-838021,Beurer,,,79.00,NE,,79.00,4211125662059,dostupno
Tlakomjer 861230,OXY-861230,Identites,,,39.90,NE,,39.90,3760223836660,dostupno
Tlakomjer za zapešće 861185,OXY-861185,Identites,,,24.90,NE,,24.90,3760223833287,dostupno
Viseća sjedalica za kadu,812240,Identites,,,48.00,NE,,48.00,3760223831689,nedostupno
